geogkey	continent	country	countrycode	stateprovince	county	municipality	waterbody	islandgroup	island	standard	vetted	error	misplaced	unresolved	source	comment
|(CENTRAL) GUATEMALA|||||||	North America	Guatemala	GT							North America|Guatemala|GT||||||	1			0		
|(CERAM)|||||||	Asia	Indonesia	ID	Maluku				Maluku Islands	Seram	Asia|Indonesia|ID|Maluku||||Maluku Islands|Seram	1			0		
|(COSTA RICO)|||||||	North America	Costa Rica	CR							North America|Costa Rica|CR||||||	1			0		
|(EAST AFRICA?)|||||||	Africa									Africa||||||||	1			0		
|(EAST INDIES)|||||||	Asia									Asia||||||||	1			0		
|(EAST) CUBA|||||||	North America	Cuba	CU							North America|Cuba|CU||||||	1			0		
|(EAST) ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(East) Ecuador	0		
|(EAST) PERU|||||||	South America	Peru	PE							South America|Peru|PE||||||	1		(East) Peru	0		
|(EUROPE)|||||||	Europe									Europe||||||||	1			0		
|(FRENCH CONGO)|||||||	Africa									Africa||||||||	1			1		
|(HIGH LEBANON)|||||||	Asia	Lebanon	LB							Asia|Lebanon|LB||||||	1			0		
|(INTERIOR) AUSTRALIA|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1		(interior) Australia	0		
|(INTERIOR) BR. GUIANA|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1		(interior) Br. Guiana	0		
|(IRELAND?)|||||||	Europe	Ireland	IE					British Isles		Europe|Ireland|IE|||||British Isles|	1			0		
|(LAPLAND)|||||||	Europe									Europe||||||||	1			1		
|(LATIN AMERICA)|||||||										||||||||	1			0		
|(LOWER AMAZON)|||||||	South America									South America||||||||	1			0		
|(MEXICO)|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|(MOROCCO)|||||||	Africa	Morocco	MA							Africa|Morocco|MA||||||	1			0		
|(N. BECHUANALAND)|||||||	Africa	Botswana	BW							Africa|Botswana|BW||||||	1			0		
|(N. COAST OF) GER. NEW GUINEA|||||||	Oceania	Papua New Guinea	PG					New Guinea		Oceania|Papua New Guinea|PG|||||New Guinea|	1			0		
|(N. COAST) GER. NEW GUINEA|||||||	Oceania	Papua New Guinea	PG					New Guinea		Oceania|Papua New Guinea|PG|||||New Guinea|	1			0		
|(N. MOLUCCAS)|||||||	Asia	Indonesia	ID					Maluku Islands		Asia|Indonesia|ID|||||Maluku Islands|	1		N. Moluccas	0		
|(NEAR) JOBI I.|||||||	Asia	Indonesia	ID	Papua	Kepulauan Yapen			Biak Islands	Yapen	Asia|Indonesia|ID|Papua|Kepulauan Yapen|||Biak Islands|Yapen	1		(Near) Jobi I.	0		
|(NEW GRENADA?; ECUADOR)|||||||	South America									South America||||||||	1	New Grenada could be the formerly viceroyalty of Nueva Granada, which covers more than modern Ecuador.		1		
|(NORTH)ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(North)Ecuador	0		
|(NORTHERN -)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(NORTHERN-)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(NORTHERN)--> NICARAGUA|||||||	North America	Nicaragua	NI							North America|Nicaragua|NI||||||	1			0		
|(PACIFIC OCEAN)|||||||							Pacific Ocean			||||||Pacific Ocean||	1			0		
|(PROBABLY FROM JAVA)|||||||	Asia	Indonesia	ID					Greater Sunda Islands	Java	Asia|Indonesia|ID|||||Greater Sunda Islands|Java	1			0		
|(S.E. OF CELEBES|||||||	Asia	Indonesia	ID					Greater Sunda Islands	Sulawesi	Asia|Indonesia|ID|||||Greater Sunda Islands|Sulawesi	1		(S.E. of Celebes	0		
|(SAN DOMINGO)|||||||	North America	Dominican Republic	DO					Greater Antilles	Hispaniola	North America|Dominican Republic|DO|||||Greater Antilles|Hispaniola	1			0		
|(SEE COMMENTS)|||||||										||||||||	1			0		
|(SINGAPORE)|||||||	Asia	Singapore	SG							Asia|Singapore|SG||||||	1			0		
|(SOUTH AMERICA)||(SOUTH AMERICA)|||||	South America									South America||||||||	1			0		
|(SOUTH AMERICA)|||||||	South America									South America||||||||	1			0		
|(SOUTH) BRAZIL|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1			0		
|(SOUTH) RUSSIA|||||||		Russia	RU							|Russia|RU||||||	1		(South)	0		
|(SOUTH)BRAZIL|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1		(South)Brazil	0		
|(SOUTHERN) DENMARK|||||||	Europe	Denmark	DK							Europe|Denmark|DK||||||	1			0		
|(ST. VINCENT, WEST INDIES?)|||||||	North America	Saint Vincent and the Grenadines	VC					Windward Islands	Saint Vincent	North America|Saint Vincent and the Grenadines|VC|||||Windward Islands|Saint Vincent	1			0		
|(TROP. AMERICA)|||||||										||||||||	1			0		
|(TURK. ORIENT)|||||||	Asia									Asia||||||||	1			0		
|(UPPER AMAZONIA)|||||||	South America									South America||||||||	1			0		
|(VENEZUELA)|||||||	South America	Venezuela	VE							South America|Venezuela|VE||||||	1			0		
|(W. OF IRELAND); [ATLANTIC OCEAN]|||||||	Europe	Ireland	IE				Northern Atlantic Ocean	British Isles		Europe|Ireland|IE||||Northern Atlantic Ocean|British Isles|	1			0		
|(WEST AFRICA)|||||||	Africa									Africa||||||||	1			0		
|(WEST) COLOMBIA|||||||	South America	Colombia	CO							South America|Colombia|CO||||||	1		(West) Colombia	0		
|(WEST) ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(West) Ecuador	0		
|(WEST)ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1		(West)Ecuador	0		
|(WESTERN U.S.)|||||||	North America	United States	US							North America|United States|US||||||	1			0		
|. ECUADOR|||||||	South America	Ecuador	EC							South America|Ecuador|EC||||||	1			0		
|? AUSTRALIA|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
|? BRIT. GUIANA|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1			0		
|? BRITISH|||||||										||||||||	1			1		
|? ENGLAND|||||||	Europe	United Kingdom	GB	England				British Isles		Europe|United Kingdom|GB|England||||British Isles|	1			0		
|? MADAGASCAR|||||||	Africa	Madagascar	MG							Africa|Madagascar|MG||||||	1			0		
|? MADAGASCAR|||||||	Africa	Madagascar	MG							Africa|Madagascar|MG||||||	1			0		
|? MONGOLIA|||||||	Asia	Mongolia	MN							Asia|Mongolia|MN||||||	1			0		
|? N.W. AUSTRALIA|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1		? N.W. Australia	0		
|? NORTH WEST ATLANTIC|||||||							Northern Atlantic Ocean			||||||Northern Atlantic Ocean||	1			0		
|? PANAMA|||||||	North America	Panama	PA							North America|Panama|PA||||||	1			0		
|? TRINIDAD|||||||	North America	Trinidad and Tobago	TT					Lesser Antilles	Trinidad	North America|Trinidad and Tobago|TT|||||Lesser Antilles|Trinidad	1			0		
|? WEST INDIES|||||||	North America									North America||||||||	1			1		
|?||?|||||										||||||||	1			0		
|?||?|CORSON CO?||||	North America	United States	US	South Dakota	Corson					North America|United States|US|South Dakota|Corson||||	1			0		
|?|||||||										||||||||	1			0		
|?AFRICA|||||||	Africa									Africa||||||||	1			0		
|?BOLIVIA.|||||||	South America	Bolivia	BO							South America|Bolivia|BO||||||	1			0		
|?INDIA|||||||	Asia	India	IN							Asia|India|IN||||||	1			0		
|?MADEIRA; [ATLANTIC OCEAN]|||||||	Europe	Portugal	PT	Madeira			Northern Atlantic Ocean	Madeiras		Europe|Portugal|PT|Madeira|||Northern Atlantic Ocean|Madeiras|	1			0		
|?NEW GUINEA|||||||									New Guinea	||||||||New Guinea	1			0		
|?S. AMERICA [?]|||||||	South America									South America||||||||	1			0		
|?SPANISH|||||||										||||||||	1			0		
|?TURKESTAN?|||||||	Asia									Asia||||||||	1			0		
|?U.S.A.|||||||	North America	United States	US							North America|United States|US||||||	1			0		
|["AUSTRALIA"]|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
|[..."CENTRAL..."] GUATEMALA*|||||||	North America	Guatemala	GT							North America|Guatemala|GT||||||	1			0		
|[? CENTRAL AMERICA]|||||||	North America									North America||||||||	1			0		
|[? CONGO OR ZAMBIA]|||||||	Africa									Africa||||||||	1			0		
|[? EAST INDIES]|||||||	Asia									Asia||||||||	1			0		
|[? INDIA]|||||||	Asia	India	IN							Asia|India|IN||||||	1			0		
|[? MEDITERRANEAN]|||||||							Mediterranean Sea			||||||Mediterranean Sea||	1			0		
|[? SEYCHELLES]|||||||	Africa	Seychelles	SC					Seychelles		Africa|Seychelles|SC|||||Seychelles|	1			0		
|[?AUSTRALIA]|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
|[?FRANCE]|||||||	Europe	France	FR							Europe|France|FR||||||	1			0		
|[?ITALY]|||||||	Europe	Italy	IT							Europe|Italy|IT||||||	1			0		
|[?MEXICO]|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|[?U.S.A. OR CANADA]|||||||	North America									North America||||||||	1			0		
|[?U.S.A.]|||||||	North America	United States	US							North America|United States|US||||||	1			0		
|[= INDONESIA  OR MALAYSIA]|||||||	Asia									Asia||||||||	1			0		
|[= INDONESIA OR MALAYSIA]|||||||	Asia									Asia||||||||	1			0		
|[= MALAYASIA OR INDONESIA]|||||||	Asia									Asia||||||||	1			0		
|[= MALAYSIA OR INDONESIA]|||||||	Asia									Asia||||||||	1			0		
|[=MALAYSIA OR INDONESIA]|||||||	Asia									Asia||||||||	1			0		
|[ABYSSINIA]|||||||	Africa									Africa||||||||	1			0		
|[AFRICA]|||||||	Africa									Africa||||||||	1			0		
|[ALASKA; U.S.A.]|||||||	North America	United States	US	Alaska						North America|United States|US|Alaska|||||	1			0		
|[ANTARCTICA]|||||||	Antarctica	Antarctica	AQ							Antarctica|Antarctica|AQ||||||	1			0		
|[ARABIA]|||||||	Asia									Asia||||||||	1			0		
|[ARABIAN SEA]|||||||							Arabian Sea			||||||Arabian Sea||	1			0		
|[ARGENTINA / CHILE]|||||||	South America									South America||||||||	1			0		
|[ARGENTINA]|||||||	South America	Argentina	AR							South America|Argentina|AR||||||	1			0		
|[ASIA MINOR]|||||||	Asia									Asia||||||||	1			0		
|[ATLANTIC OCEAN]|||||||							Atlantic Ocean			||||||Atlantic Ocean||	1			0		
|[AUSTRALIA]|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
|[AUSTRALIA|||||||	Australasia	Australia	AU							Australasia|Australia|AU||||||	1			0		
|[BALTIC SEA]|||||||							Baltic Sea			||||||Baltic Sea||	1			0		
|[BARENTS SEA]|||||||							Barents Sea			||||||Barents Sea||	1			0		
|[BAY OF BENGAL]|||||||							Bay of Bengal			||||||Bay of Bengal||	1			0		
|[BEARING SEA]|||||||							Bering Sea			||||||Bering Sea||	1			0		
|[BERING SEA]|||||||							Bering Sea			||||||Bering Sea||	1			0		
|[BORDER BOTSWANA AND SOUTH AFRICA]|||||||	Africa	Botswana, South Africa								Africa|Botswana, South Africa|||||||	1			0		
|[BORDER SOUTH AFRICA AND BOTSWANA]|||||||	Africa	Botswana, South Africa								Africa|Botswana, South Africa|||||||	1			0		
|[BORNEO]|||||||	Asia							Greater Sunda Islands	Borneo	Asia|||||||Greater Sunda Islands|Borneo	1			0		
|[BR GUIANA]|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1			0		
|[BRAZIL ?]|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1			0		
|[BRAZIL OR ARGENTINA]|||||||	South America									South America||||||||	1			0		
|[BRAZIL?]|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1			0		
|[BRAZIL] -> ERRONEOUS = MEXICO|||||||	North America	Mexico	MX							North America|Mexico|MX||||||	1			0		
|[BRAZIL]|||||||	South America	Brazil	BR							South America|Brazil|BR||||||	1			0		
|[BRIT. GUIANA] LOCALITY DOUBTFUL|||||||	South America	Guyana	GY							South America|Guyana|GY||||||	1		[Brit. Guiana] Locality Doubtful	0		
|[BRITISH CAMEROONS]|||||||	Africa	Cameroon	CM							Africa|Cameroon|CM||||||	1			0		
|[CALIFORNIA]||NATIVE TO INDIA|||||	North America	United States	US	California						North America|United States|US|California|||||	1			0		
|[CAMEROON]|||||||	Africa	Cameroon	CM							Africa|Cameroon|CM||||||	1			0		
|[CANADA[|||||||	North America	Canada	CA							North America|Canada|CA||||||	1			0		
|[CANADA] AND GREENLAND|||||||										||||||||	1			1		
